Wheelbase,Prop,Weight,V,MinW,minKV,A,,,
50,1,100,3.7,40,36000,10.81081081,,,
50,1,200,3.7,115,51000,31.08108108,,,
50,1,300,3.7,205,62000,55.40540541,,,
50,1,400,3.7,315,72000,85.13513514,,,
50,1,100,7.4,40,18000,5.405405405,,,
50,1,200,7.4,115,25500,15.54054054,,,
50,1,300,7.4,205,31000,27.7027027,,,
50,1,400,7.4,315,36000,42.56756757,,,
50,1,100,11.1,40,12000,3.603603604,,,
50,1,200,11.1,115,17000,10.36036036,,,
50,1,300,11.1,205,20666.66667,18.46846847,,,
50,1,400,11.1,315,24000,28.37837838,,,
50,1,100,14.8,40,9000,2.702702703,,,
50,1,200,14.8,115,12750,7.77027027,,,
50,1,300,14.8,205,15500,13.85135135,,,
50,1,400,14.8,315,18000,21.28378378,,,
50,1,100,18.5,40,7200,2.162162162,,,
50,1,200,18.5,115,10200,6.216216216,,,
50,1,300,18.5,205,12400,11.08108108,,,
50,1,400,18.5,315,14400,17.02702703,,,
50,1,100,22.2,40,6000,1.801801802,,,
50,1,200,22.2,115,8500,5.18018018,,,
50,1,300,22.2,205,10333.33333,9.234234234,,,
50,1,400,22.2,315,12000,14.18918919,,,
100,2,100,3.7,20,11300,5.945945946,,,
100,2,200,3.7,60,16000,17.83783784,,,
100,2,300,3.7,105,19500,31.21621622,,,
100,2,400,3.7,160,22500,47.56756757,,,
100,2,500,3.7,220,25200,65.40540541,,,
100,2,600,3.7,290,27600,86.21621622,,,
100,2,100,7.4,20,11300,2.937837838,,,
100,2,200,7.4,60,16000,8.813513514,,,
100,2,300,7.4,105,19500,15.42364865,,,
100,2,400,7.4,160,22500,23.5027027,,,
100,2,500,7.4,220,25200,32.31621622,,,
100,2,600,7.4,290,27600,42.59864865,,,
100,2,100,11.1,20,11300,1.981981982,,,
100,2,200,11.1,60,16000,5.945945946,,,
100,2,300,11.1,105,19500,10.40540541,,,
100,2,400,11.1,160,22500,15.85585586,,,
100,2,500,11.1,220,25200,21.8018018,,,
100,2,600,11.1,290,27600,28.73873874,,,
100,2,100,14.8,20,11300,1.351351351,,,
100,2,200,14.8,60,16000,4.054054054,,,
100,2,300,14.8,105,19500,7.094594595,,,
100,2,400,14.8,160,22500,10.81081081,,,
100,2,500,14.8,220,25200,14.86486486,,,
100,2,600,14.8,290,27600,19.59459459,,,
100,2,100,18.5,20,11300,1.081081081,,,
100,2,200,18.5,60,16000,3.243243243,,,
100,2,300,18.5,105,19500,5.675675676,,,
100,2,400,18.5,160,22500,8.648648649,,,
100,2,500,18.5,220,25200,11.89189189,,,
100,2,600,18.5,290,27600,15.67567568,,,
100,2,100,22.2,20,11300,0.900900901,,,
100,2,200,22.2,60,16000,2.702702703,,,
100,2,300,22.2,105,19500,4.72972973,,,
100,2,400,22.2,160,22500,7.207207207,,,
100,2,500,22.2,220,25200,9.90990991,,,
100,2,600,22.2,290,27600,13.06306306,,,
200,5,100,3.7,10,2500,2.702702703,,,
200,5,200,3.7,25,3500,6.756756757,,,
200,5,300,3.7,45,4200,12.16216216,,,
200,5,400,3.7,65,4900,17.56756757,,,
200,5,500,3.7,90,5500,24.32432432,,,
200,5,600,3.7,115,6000,31.08108108,,,
200,5,700,3.7,145,6500,39.18918919,,,
200,5,800,3.7,180,6900,48.64864865,,,
200,5,900,3.7,215,7400,58.10810811,,,
200,5,1000,3.7,250,7750,67.56756757,,,
200,5,1100,3.7,290,8120,78.37837838,,,
200,5,100,7.4,10,2500,1.351351351,,,
200,5,200,7.4,25,3500,3.378378378,,,
200,5,300,7.4,45,4200,6.081081081,,,
200,5,400,7.4,65,4900,8.783783784,,,
200,5,500,7.4,90,5500,12.16216216,,,
200,5,600,7.4,115,6000,15.54054054,,,
200,5,700,7.4,145,6500,19.59459459,,,
200,5,800,7.4,180,6900,24.32432432,,,
200,5,900,7.4,215,7400,29.05405405,,,
200,5,1000,7.4,250,7750,33.78378378,,,
200,5,1100,7.4,290,8120,39.18918919,,,
200,5,100,11.1,10,2500,0.900900901,,,
200,5,200,11.1,25,3500,2.252252252,,,
200,5,300,11.1,45,4200,4.054054054,,,
200,5,400,11.1,65,4900,5.855855856,,,
200,5,500,11.1,90,5500,8.108108108,,,
200,5,600,11.1,115,6000,10.36036036,,,
200,5,700,11.1,145,6500,13.06306306,,,
200,5,800,11.1,180,6900,16.21621622,,,
200,5,900,11.1,215,7400,19.36936937,,,
200,5,1000,11.1,250,7750,22.52252252,,,
200,5,1100,11.1,290,8120,26.12612613,,,
200,5,100,14.8,10,2500,0.675675676,,,
200,5,200,14.8,25,3500,1.689189189,,,
200,5,300,14.8,45,4200,3.040540541,,,
200,5,400,14.8,65,4900,4.391891892,,,
200,5,500,14.8,90,5500,6.081081081,,,
200,5,600,14.8,115,6000,7.77027027,,,
200,5,700,14.8,145,6500,9.797297297,,,
200,5,800,14.8,180,6900,12.16216216,,,
200,5,900,14.8,215,7400,14.52702703,,,
200,5,1000,14.8,250,7750,16.89189189,,,
200,5,1100,14.8,290,8120,19.59459459,,,
200,5,100,18.5,10,2500,0.540540541,,,
200,5,200,18.5,25,3500,1.351351351,,,
200,5,300,18.5,45,4200,2.432432432,,,
200,5,400,18.5,65,4900,3.513513514,,,
200,5,500,18.5,90,5500,4.864864865,,,
200,5,600,18.5,115,6000,6.216216216,,,
200,5,700,18.5,145,6500,7.837837838,,,
200,5,800,18.5,180,6900,9.72972973,,,
200,5,900,18.5,215,7400,11.62162162,,,
200,5,1000,18.5,250,7750,13.51351351,,,
200,5,1100,18.5,290,8120,15.67567568,,,
200,5,100,22.2,10,2500,0.45045045,,,
200,5,200,22.2,25,3500,1.126126126,,,
200,5,300,22.2,45,4200,2.027027027,,,
200,5,400,22.2,65,4900,2.927927928,,,
200,5,500,22.2,90,5500,4.054054054,,,
200,5,600,22.2,115,6000,5.18018018,,,
200,5,700,22.2,145,6500,6.531531532,,,
200,5,800,22.2,180,6900,8.108108108,,,
200,5,900,22.2,215,7400,9.684684685,,,
200,5,1000,22.2,250,7750,11.26126126,,,
200,5,1100,22.2,290,8120,13.06306306,,,
450,10,100,3.7,5,770,1.351351351,,,
450,10,200,3.7,15,1090,4.054054054,,,
450,10,300,3.7,25,1330,6.756756757,,,
450,10,400,3.7,35,1540,9.459459459,,,
450,10,500,3.7,45,1720,12.16216216,,,
450,10,600,3.7,60,1890,16.21621622,,,
450,10,700,3.7,75,2040,20.27027027,,,
450,10,800,3.7,90,2180,24.32432432,,,
450,10,900,3.7,110,2310,29.72972973,,,
450,10,1000,3.7,125,2440,33.78378378,,,
450,10,1100,3.7,145,2550,39.18918919,,,
450,10,1200,3.7,165,2670,44.59459459,,,
450,10,1300,3.7,185,2780,50,,,
450,10,1400,3.7,205,2880,55.40540541,,,
450,10,1500,3.7,230,2980,62.16216216,,,
450,10,1600,3.7,255,3080,68.91891892,,,
450,10,1700,3.7,275,3180,74.32432432,,,
450,10,1800,3.7,300,3270,81.08108108,,,
450,10,100,7.4,5,770,0.675675676,,,
450,10,200,7.4,15,1090,2.027027027,,,
450,10,300,7.4,25,1330,3.378378378,,,
450,10,400,7.4,35,1540,4.72972973,,,
450,10,500,7.4,45,1720,6.081081081,,,
450,10,600,7.4,60,1890,8.108108108,,,
450,10,700,7.4,75,2040,10.13513514,,,
450,10,800,7.4,90,2180,12.16216216,,,
450,10,900,7.4,110,2310,14.86486486,,,
450,10,1000,7.4,125,2440,16.89189189,,,
450,10,1100,7.4,145,2550,19.59459459,,,
450,10,1200,7.4,165,2670,22.2972973,,,
450,10,1300,7.4,185,2780,25,,,
450,10,1400,7.4,205,2880,27.7027027,,,
450,10,1500,7.4,230,2980,31.08108108,,,
450,10,1600,7.4,255,3080,34.45945946,,,
450,10,1700,7.4,275,3180,37.16216216,,,
450,10,1800,7.4,300,3270,40.54054054,,,
450,10,100,11.1,5,770,0.45045045,,,
450,10,200,11.1,15,1090,1.418918919,,,
450,10,300,11.1,25,1330,2.364864865,,,
450,10,400,11.1,35,1540,3.310810811,,,
450,10,500,11.1,45,1720,4.256756757,,,
450,10,600,11.1,60,1890,5.675675676,,,
450,10,700,11.1,75,2040,7.094594595,,,
450,10,800,11.1,90,2180,8.513513514,,,
450,10,900,11.1,110,2310,10.40540541,,,
450,10,1000,11.1,125,2440,11.82432432,,,
450,10,1100,11.1,145,2550,13.71621622,,,
450,10,1200,11.1,165,2670,15.60810811,,,
450,10,1300,11.1,185,2780,17.5,,,
450,10,1400,11.1,205,2880,19.39189189,,,
450,10,1500,11.1,230,2980,21.75675676,,,
450,10,1600,11.1,255,3080,24.12162162,,,
450,10,1700,11.1,275,3180,26.01351351,,,
450,10,1800,11.1,300,3270,28.37837838,,,
450,10,100,14.8,5,770,0.337837838,,,
450,10,200,14.8,15,1090,1.013513514,,,
450,10,300,14.8,25,1330,1.689189189,,,
450,10,400,14.8,35,1540,2.364864865,,,
450,10,500,14.8,45,1720,3.040540541,,,
450,10,600,14.8,60,1890,4.054054054,,,
450,10,700,14.8,75,2040,5.067567568,,,
450,10,800,14.8,90,2180,6.081081081,,,
450,10,900,14.8,110,2310,7.432432432,,,
450,10,1000,14.8,125,2440,8.445945946,,,
450,10,1100,14.8,145,2550,9.797297297,,,
450,10,1200,14.8,165,2670,11.14864865,,,
450,10,1300,14.8,185,2780,12.5,,,
450,10,1400,14.8,205,2880,13.85135135,,,
450,10,1500,14.8,230,2980,15.54054054,,,
450,10,1600,14.8,255,3080,17.22972973,,,
450,10,1700,14.8,275,3180,18.58108108,,,
450,10,1800,14.8,300,3270,20.27027027,,,
450,10,100,18.5,5,770,0.310810811,,,
450,10,200,18.5,15,1090,0.932432432,,,
450,10,300,18.5,25,1330,1.554054054,,,
450,10,400,18.5,35,1540,2.175675676,,,
450,10,500,18.5,45,1720,2.797297297,,,
450,10,600,18.5,60,1890,3.72972973,,,
450,10,700,18.5,75,2040,4.662162162,,,
450,10,800,18.5,90,2180,5.594594595,,,
450,10,900,18.5,110,2310,6.837837838,,,
450,10,1000,18.5,125,2440,7.77027027,,,
450,10,1100,18.5,145,2550,9.013513514,,,
450,10,1200,18.5,165,2670,10.25675676,,,
450,10,1300,18.5,185,2780,11.5,,,
450,10,1400,18.5,205,2880,12.74324324,,,
450,10,1500,18.5,230,2980,14.2972973,,,
450,10,1600,18.5,255,3080,15.85135135,,,
450,10,1700,18.5,275,3180,17.09459459,,,
450,10,1800,18.5,300,3270,18.64864865,,,
450,10,100,22.2,5,770,0.27027027,,,
450,10,200,22.2,15,1090,0.810810811,,,
450,10,300,22.2,25,1330,1.351351351,,,
450,10,400,22.2,35,1540,1.891891892,,,
450,10,500,22.2,45,1720,2.432432432,,,
450,10,600,22.2,60,1890,3.243243243,,,
450,10,700,22.2,75,2040,4.054054054,,,
450,10,800,22.2,90,2180,4.864864865,,,
450,10,900,22.2,110,2310,5.945945946,,,
450,10,1000,22.2,125,2440,6.756756757,,,
450,10,1100,22.2,145,2550,7.837837838,,,
450,10,1200,22.2,165,2670,8.918918919,,,
450,10,1300,22.2,185,2780,10,,,
450,10,1400,22.2,205,2880,11.08108108,,,
450,10,1500,22.2,230,2980,12.43243243,,,
450,10,1600,22.2,255,3080,13.78378378,,,
450,10,1700,22.2,275,3180,14.86486486,,,
450,10,1800,22.2,300,3270,16.21621622,,,
800,20,100,3.7,5,240,1.351351351,,,
800,20,200,3.7,10,340,2.702702703,,,
800,20,300,3.7,15,420,4.054054054,,,
800,20,400,3.7,20,480,5.405405405,,,
800,20,500,3.7,25,540,6.756756757,,,
800,20,600,3.7,30,590,8.108108108,,,
800,20,700,3.7,40,640,10.81081081,,,
800,20,800,3.7,45,680,12.16216216,,,
800,20,900,3.7,55,720,14.86486486,,,
800,20,1000,3.7,65,760,17.56756757,,,
800,20,1100,3.7,75,800,20.27027027,,,
800,20,1200,3.7,85,840,22.97297297,,,
800,20,1300,3.7,95,870,25.67567568,,,
800,20,1400,3.7,105,900,28.37837838,,,
800,20,1500,3.7,115,940,31.08108108,,,
800,20,1600,3.7,130,970,35.13513514,,,
800,20,1700,3.7,140,1000,37.83783784,,,
800,20,1800,3.7,150,1030,40.54054054,,,
800,20,1900,3.7,165,1050,44.59459459,,,
800,20,2000,3.7,175,1080,47.2972973,,,
800,20,2100,3.7,190,1110,51.35135135,,,
800,20,2200,3.7,205,1140,55.40540541,,,
800,20,2300,3.7,220,1160,59.45945946,,,
800,20,2400,3.7,230,1190,62.16216216,,,
800,20,2500,3.7,245,1210,66.21621622,,,
800,20,2600,3.7,260,1230,70.27027027,,,
800,20,2700,3.7,275,1260,74.32432432,,,
800,20,2800,3.7,290,1280,78.37837838,,,
800,20,100,7.4,5,240,0.675675676,,,
800,20,200,7.4,10,340,1.351351351,,,
800,20,300,7.4,15,420,2.027027027,,,
800,20,400,7.4,20,480,2.702702703,,,
800,20,500,7.4,25,540,3.378378378,,,
800,20,600,7.4,30,590,4.054054054,,,
800,20,700,7.4,40,640,5.405405405,,,
800,20,800,7.4,45,680,6.081081081,,,
800,20,900,7.4,55,720,7.432432432,,,
800,20,1000,7.4,65,760,8.783783784,,,
800,20,1100,7.4,75,800,10.13513514,,,
800,20,1200,7.4,85,840,11.48648649,,,
800,20,1300,7.4,95,870,12.83783784,,,
800,20,1400,7.4,105,900,14.18918919,,,
800,20,1500,7.4,115,940,15.54054054,,,
800,20,1600,7.4,130,970,17.56756757,,,
800,20,1700,7.4,140,1000,18.91891892,,,
800,20,1800,7.4,150,1030,20.27027027,,,
800,20,1900,7.4,165,1050,22.2972973,,,
800,20,2000,7.4,175,1080,23.64864865,,,
800,20,2100,7.4,190,1110,25.67567568,,,
800,20,2200,7.4,205,1140,27.7027027,,,
800,20,2300,7.4,220,1160,29.72972973,,,
800,20,2400,7.4,230,1190,31.08108108,,,
800,20,2500,7.4,245,1210,33.10810811,,,
800,20,2600,7.4,260,1230,35.13513514,,,
800,20,2700,7.4,275,1260,37.16216216,,,
800,20,2800,7.4,290,1280,39.18918919,,,
800,20,100,11.1,5,240,0.45045045,,,
800,20,200,11.1,10,340,0.900900901,,,
800,20,300,11.1,15,420,1.351351351,,,
800,20,400,11.1,20,480,1.801801802,,,
800,20,500,11.1,25,540,2.252252252,,,
800,20,600,11.1,30,590,2.702702703,,,
800,20,700,11.1,40,640,3.603603604,,,
800,20,800,11.1,45,680,4.054054054,,,
800,20,900,11.1,55,720,4.954954955,,,
800,20,1000,11.1,65,760,5.855855856,,,
800,20,1100,11.1,75,800,6.756756757,,,
800,20,1200,11.1,85,840,7.657657658,,,
800,20,1300,11.1,95,870,8.558558559,,,
800,20,1400,11.1,105,900,9.459459459,,,
800,20,1500,11.1,115,940,10.36036036,,,
800,20,1600,11.1,130,970,11.71171171,,,
800,20,1700,11.1,140,1000,12.61261261,,,
800,20,1800,11.1,150,1030,13.51351351,,,
800,20,1900,11.1,165,1050,14.86486486,,,
800,20,2000,11.1,175,1080,15.76576577,,,
800,20,2100,11.1,190,1110,17.11711712,,,
800,20,2200,11.1,205,1140,18.46846847,,,
800,20,2300,11.1,220,1160,19.81981982,,,
800,20,2400,11.1,230,1190,20.72072072,,,
800,20,2500,11.1,245,1210,22.07207207,,,
800,20,2600,11.1,260,1230,23.42342342,,,
800,20,2700,11.1,275,1260,24.77477477,,,
800,20,2800,11.1,290,1280,26.12612613,,,
800,20,100,14.8,5,240,0.337837838,,,
800,20,200,14.8,10,340,0.675675676,,,
800,20,300,14.8,15,420,1.013513514,,,
800,20,400,14.8,20,480,1.351351351,,,
800,20,500,14.8,25,540,1.689189189,,,
800,20,600,14.8,30,590,2.027027027,,,
800,20,700,14.8,40,640,2.702702703,,,
800,20,800,14.8,45,680,3.040540541,,,
800,20,900,14.8,55,720,3.716216216,,,
800,20,1000,14.8,65,760,4.391891892,,,
800,20,1100,14.8,75,800,5.067567568,,,
800,20,1200,14.8,85,840,5.743243243,,,
800,20,1300,14.8,95,870,6.418918919,,,
800,20,1400,14.8,105,900,7.094594595,,,
800,20,1500,14.8,115,940,7.77027027,,,
800,20,1600,14.8,130,970,8.783783784,,,
800,20,1700,14.8,140,1000,9.459459459,,,
800,20,1800,14.8,150,1030,10.13513514,,,
800,20,1900,14.8,165,1050,11.14864865,,,
800,20,2000,14.8,175,1080,11.82432432,,,
800,20,2100,14.8,190,1110,12.83783784,,,
800,20,2200,14.8,205,1140,13.85135135,,,
800,20,2300,14.8,220,1160,14.86486486,,,
800,20,2400,14.8,230,1190,15.54054054,,,
800,20,2500,14.8,245,1210,16.55405405,,,
800,20,2600,14.8,260,1230,17.56756757,,,
800,20,2700,14.8,275,1260,18.58108108,,,
800,20,2800,14.8,290,1280,19.59459459,,,
800,20,100,18.5,5,240,0.27027027,,,
800,20,200,18.5,10,340,0.540540541,,,
800,20,300,18.5,15,420,0.810810811,,,
800,20,400,18.5,20,480,1.081081081,,,
800,20,500,18.5,25,540,1.351351351,,,
800,20,600,18.5,30,590,1.621621622,,,
800,20,700,18.5,40,640,2.162162162,,,
800,20,800,18.5,45,680,2.432432432,,,
800,20,900,18.5,55,720,2.972972973,,,
800,20,1000,18.5,65,760,3.513513514,,,
800,20,1100,18.5,75,800,4.054054054,,,
800,20,1200,18.5,85,840,4.594594595,,,
800,20,1300,18.5,95,870,5.135135135,,,
800,20,1400,18.5,105,900,5.675675676,,,
800,20,1500,18.5,115,940,6.216216216,,,
800,20,1600,18.5,130,970,7.027027027,,,
800,20,1700,18.5,140,1000,7.567567568,,,
800,20,1800,18.5,150,1030,8.108108108,,,
800,20,1900,18.5,165,1050,8.918918919,,,
800,20,2000,18.5,175,1080,9.459459459,,,
800,20,2100,18.5,190,1110,10.27027027,,,
800,20,2200,18.5,205,1140,11.08108108,,,
800,20,2300,18.5,220,1160,11.89189189,,,
800,20,2400,18.5,230,1190,12.43243243,,,
800,20,2500,18.5,245,1210,13.24324324,,,
800,20,2600,18.5,260,1230,14.05405405,,,
800,20,2700,18.5,275,1260,14.86486486,,,
800,20,2800,18.5,290,1280,15.67567568,,,
800,20,100,22.2,5,240,0.225225225,,,
800,20,200,22.2,10,340,0.45045045,,,
800,20,300,22.2,15,420,0.675675676,,,
800,20,400,22.2,20,480,0.900900901,,,
800,20,500,22.2,25,540,1.126126126,,,
800,20,600,22.2,30,590,1.351351351,,,
800,20,700,22.2,40,640,1.801801802,,,
800,20,800,22.2,45,680,2.027027027,,,
800,20,900,22.2,55,720,2.477477477,,,
800,20,1000,22.2,65,760,2.927927928,,,
800,20,1100,22.2,75,800,3.378378378,,,
800,20,1200,22.2,85,840,3.828828829,,,
800,20,1300,22.2,95,870,4.279279279,,,
800,20,1400,22.2,105,900,4.72972973,,,
800,20,1500,22.2,115,940,5.18018018,,,
800,20,1600,22.2,130,970,5.855855856,,,
800,20,1700,22.2,140,1000,6.306306306,,,
800,20,1800,22.2,150,1030,6.756756757,,,
800,20,1900,22.2,165,1050,7.432432432,,,
800,20,2000,22.2,175,1080,7.882882883,,,
800,20,2100,22.2,190,1110,8.558558559,,,
800,20,2200,22.2,205,1140,9.234234234,,,
800,20,2300,22.2,220,1160,9.90990991,,,
800,20,2400,22.2,230,1190,10.36036036,,,
800,20,2500,22.2,245,1210,11.03603604,,,
800,20,2600,22.2,260,1230,11.71171171,,,
800,20,2700,22.2,275,1260,12.38738739,,,
800,20,2800,22.2,290,1280,13.06306306,,,