Raw-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450mm,Frame,,,,,Battery,,,,,Porp,,,,,ESC,,,,Compute,,,,Weight,,,Motor Selection,,,,,,Power,,,,,,compute,,,, Flighttime (min) @ 85% charge,,,,,,,,,,,,
,Drone,Frame,w-Frame weight,Wheelbase,w-RC reciever,w-Battery,cell-battery,voltage,capacity battery,discharche,max A,w-prop,w-tele,w-misc,w-gps,w-ppm,w-esc,esc-A,w-motor,TWR,Compute,w-Compute ,compue pow,,w-total,thrust-needed,per-m-thrust,prop,prop-r,kv,max-thrust,max-draw,final-thurst,Avg 30% load,Avg 50% load,Avg 70% load,Avg 100%load,hover,Increase,%compute 30%,%compute 50%,%compute 70%,%compute 100%,0.3,0.5,0.7,1,,,Compute Min,Compute Max,0.3,,0.7,,weight
,Our 1s,Crazepony F450,272,450,15,23.85,1,3.7,1000,50,50,40,15,20,15,9,112,30,120,2,navio+rpi,73,7,,714.85,1429.7,357.425,10,12.7,935,670,16,2680,78.04,125.4,172.76,243.8,127.6372489,0,8.969759098,5.582137161,4.051863857,2.871205906,3.264287545,2.03145933,1.474560083,1.044893355,Our 1s,,3,20,3.844182471,25.62788314,1.647506773,10.98337849,714.85
,,Crazepony F450,272,450,15,42.85,1,3.7,2000,50,100,40,15,20,15,9,112,30,120,2,navio+rpi,73,7,,733.85,1467.7,366.925,10,12.7,935,670,18,2680,90.71434891,143.9943489,197.2743489,277.1943489,132.7596199,5.122371024,7.716530058,4.861301887,3.548357928,2.525304007,5.616421284,3.538263855,2.582646973,1.838024484,,,3,20,3.30708431,22.04722874,1.417321847,9.448812316,733.85
,,Crazepony F450,272,450,15,61.85,1,3.7,3000,50,150,40,15,20,15,9,112,30,120,2,navio+rpi,73,7,,752.85,1505.7,376.425,10,12.7,935,670,19,2680,98.99814075,155.2381408,211.4781408,295.8381408,137.9487389,10.31149002,7.070839863,4.509201132,3.310034775,2.366158732,7.719690432,4.922984753,3.613777752,2.583287598,,,3,20,3.030359941,20.20239961,1.298725689,8.658171261,752.85
,,Crazepony F450,272,450,15,80.85,1,3.7,4000,50,200,40,15,20,15,9,112,30,160,2,navio+rpi,73,7,,811.85,1623.7,405.925,10,12.7,935,833,20,3332,115.682593,174.882593,234.082593,322.882593,154.4787495,26.84150056,6.051040021,4.00268539,2.990397496,2.167970696,8.808412515,5.826651941,4.353078915,3.155883972,,,3,20,2.593302866,17.28868577,1.111415514,7.40943676,811.85
,,Crazepony F450,272,450,15,99.85,1,3.7,5000,50,250,40,15,20,15,9,112,30,160,2,navio+rpi,73,7,,830.85,1661.7,415.425,10,12.7,935,833,21,3332,124.1630255,186.3230255,248.4830255,341.7230255,159.9333333,32.29608441,5.637749219,3.756916238,2.817093838,2.048442592,10.25848875,6.836111622,5.12600407,3.727360772,,,3,20,2.416178237,16.10785491,1.035504959,6.903366391,830.85
,,Crazepony F450,272,450,15,118.85,1,3.7,6000,50,300,40,15,20,15,9,112,30,160,2,navio+rpi,73,7,,849.85,1699.7,424.925,10,12.7,935,833,23,3332,137.1299248,205.2099248,273.2899248,375.4099248,165.4506473,37.81339842,5.104648028,3.411141059,2.561382388,1.86462838,11.14614482,7.448323963,5.592851626,4.071469344,,,3,20,2.187706298,14.58470865,0.937588413,6.250589422,849.85
,,Crazepony F450,272,450,15,137.85,1,3.7,7000,50,350,40,15,20,15,9,112,30,180,2,navio+rpi,73,7,,888.85,1777.7,444.425,10,12.7,935,833,25,3332,154.5422102,228.5422102,302.5422102,413.5422102,176.9692326,49.33198372,4.529506853,3.062891531,2.313726735,1.692692989,11.53869223,7.802563031,5.89410317,4.312050756,,,3,20,1.941217223,12.94144815,0.831950238,5.546334922,888.85
,,Crazepony F450,272,450,15,156.85,1,3.7,8000,50,400,40,15,20,15,9,112,30,180,2,navio+rpi,73,7,,907.85,1815.7,453.925,10,12.7,935,833,29,3332,176.5277958,262.3677958,348.2077958,476.9677958,182.6737732,55.03652431,3.965381185,2.66801037,2.010293878,1.467604325,11.54469748,7.767569163,5.852712158,4.2727413,,,3,20,1.699449079,11.32966053,0.72833532,4.855568798,907.85
,Our 3s,Crazepony F448,272,450,15,90.935,3,11.1,1000,48,48,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,881.935,1763.87,440.9675,10,12.7,935,670,7.5,2680,106.9,173.5,240.1,340,174.908099,0,6.548175865,4.034582133,2.915451895,2.058823529,7.149064546,4.40481268,3.182986256,2.24775,Our 3s,,3,20,2.806361085,18.7090739,1.202726179,8.018174529,881.935
,,Crazepony F449,272,450,15,164.935,3,11.1,2000,49,98,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,955.935,1911.87,477.9675,10,12.7,935,670,8.5,2680,136.8639849,212.3439849,287.8239849,401.0439849,197.3774786,22.46937961,5.114566849,3.296537928,2.432041931,1.745444456,11.16780285,7.198084753,5.310433043,3.811227839,,,3,20,2.191957221,14.61304814,0.939410238,6.262734917,955.935
,,Crazepony F450,272,450,15,284,3,11.1,3000,50,150,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,1075,2150,537.5,10,12.7,935,670,12,2680,211.6332742,318.1932742,424.7532742,584.5932742,235.3790192,60.47092021,3.307608421,2.199920792,1.648015548,1.197413708,10.83338624,7.205384858,5.397733553,3.921880564,,,3,20,1.417546466,9.450309774,0.607519914,4.05013276,1075
,,Crazepony F450,272,450,15,312.935,3,11.1,4000,50,200,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,1103.935,2207.87,551.9675,10,12.7,935,670,13.7,2680,241.3639078,363.0199078,484.6759078,667.1599078,244.9459746,70.03787555,2.900185062,1.928268905,1.444264072,1.04922372,12.66527389,8.420860493,6.30718373,4.582019939,,,3,20,1.242936455,8.286243035,0.532687052,3.551247015,1103.935
,,Crazepony F450,272,450,15,386.935,3,11.1,5000,50,250,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,1177.935,2355.87,588.9675,10,12.7,935,670,14,2680,263.9061394,388.2261394,512.5461394,699.0261394,269.9833873,95.07528825,2.652458186,1.80307282,1.365730704,1.001393168,14.47929559,9.842652546,7.455280034,5.466426482,,,3,20,1.136767794,7.578451961,0.487186197,3.247907983,1177.935
,,Crazepony F450,272,450,15,460.935,3,11.1,6000,50,300,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1291.935,2583.87,645.9675,10,12.7,935,833,15,3332,306.949703,440.149703,573.349703,773.149703,310.1101981,135.2020991,2.280503917,1.590367993,1.220895374,0.905387401,14.93863638,10.41784186,7.997579794,5.930817773,,,3,20,0.977358821,6.515725476,0.418868066,2.792453776,1291.935
,,Crazepony F450,272,450,15,534.935,3,11.1,7000,50,350,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1365.935,2731.87,682.9675,10,12.7,935,833,18,3332,366.9259248,526.7659248,686.6059248,926.3659248,337.1320975,162.2239984,1.907742007,1.32886348,1.01950766,0.75564092,14.57963212,10.15563982,7.791434369,5.774872388,,,3,20,0.817603717,5.450691448,0.350401593,2.33601062,1365.935
,,Crazepony F450,272,450,15,608.935,3,11.1,8000,50,400,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1439.935,2879.87,719.9675,10,12.7,935,833,21,3332,427.451954,613.931954,800.411954,1080.131954,364.896237,189.9881379,1.637610949,1.140191507,0.874549657,0.648068967,14.30308118,9.958562932,7.638416654,5.660308425,,,3,20,0.701833264,4.678888425,0.300785684,2.005237896,1439.935
,Our 6s,Crazepony F450,272,450,15,275.85,6,22.2,1000,50,50,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,1066.85,2133.7,533.425,10,12.7,935,670,7,2680,193.48,317.8,442.12,628.6,232.7073469,0,3.617945007,2.202643172,1.583280557,1.113585746,7.899886293,4.809534298,3.457138333,2.431546293,Our 6s,,3,20,1.55054786,10.33698573,0.664520512,4.430136744,1066.85
,,Crazepony F450,272,450,15,391.85,6,22.2,2000,50,100,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,1182.85,2365.7,591.425,10,12.7,935,670,8,2680,248.9848764,391.0648764,533.1448764,746.2648764,271.67493,38.96758308,2.811415738,1.789984328,1.312963945,0.938004752,12.27761318,7.816963846,5.733788573,4.096320351,,,3,20,1.204892459,8.032616395,0.516382483,3.442549884,1182.85
,,Crazepony F450,272,450,15,507.85,6,22.2,3000,50,150,40,15,20,15,9,112,30,220,2,navio+rpi,73,7,,1298.85,2597.7,649.425,10,12.7,935,670,9,2680,305.9421833,465.7821833,625.6221833,865.3821833,312.6032944,79.89594748,2.288014004,1.502848381,1.118886156,0.808891162,14.98783185,9.844537134,7.329359671,5.298710891,,,3,20,0.98057743,6.53718287,0.42024747,2.801649801,1298.85
,,Crazepony F450,272,450,15,623.85,6,22.2,4000,50,200,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1454.85,2909.7,727.425,10,12.7,935,833,10,3332,375.528146,553.128146,730.728146,997.128146,370.580344,137.8729971,1.864041371,1.265529525,0.957948594,0.702016088,16.28075037,11.05327951,8.366832499,6.131488741,,,3,20,0.798874873,5.325832488,0.342374946,2.282499638,1454.85
,,Crazepony F450,272,450,15,739.85,6,22.2,5000,50,250,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1570.85,3141.7,785.425,10,12.7,935,833,11,3332,435.6447859,631.0047859,826.3647859,1119.404786,415.773808,183.066461,1.606813676,1.109341824,0.84708353,0.625332327,17.54261785,12.11139784,9.248155451,6.827155017,,,3,20,0.688634433,4.590896218,0.295129043,1.96752695,1570.85
,,Crazepony F450,272,450,15,855.85,6,22.2,6000,50,300,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1686.85,3373.7,843.425,10,12.7,935,833,12.5,3332,510.3414516,732.3414516,954.3414516,1287.341452,462.6683066,229.9609597,1.371630695,0.955838289,0.733490093,0.543756281,17.96996887,12.52260128,9.609579448,7.123844252,,,3,20,0.587841726,3.918944843,0.251932168,1.67954779,1686.85
,,Crazepony F451,272,450,15,971.85,6,22.2,7000,51,357,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1802.85,3605.7,901.425,10,12.7,935,833,13.5,3332,572.9339919,812.6939919,1052.453992,1412.093992,511.204236,278.4968891,1.221781235,0.86133281,0.66511221,0.49571771,18.67455964,13.16521361,10.16604059,7.576896482,,,3,20,0.523620529,3.490803527,0.224408798,1.496058655,1802.85
,,Crazepony F452,272,450,15,1087.85,6,22.2,8000,52,416,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1918.85,3837.7,959.425,10,12.7,935,833,16,3332,676.662597,960.822597,1244.982597,1671.222597,561.3278529,328.6205059,1.03448898,0.728542399,0.562256855,0.418855035,18.07068996,12.72634515,9.821631266,7.316655497,,,3,20,0.44335242,2.955682801,0.19000818,1.2667212,1918.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drone,Frame,w-Frame weight,Wheelbase,w-RC reciever,w-Battery,cell-battery,voltage,capacity battery,discharche,max A,w-prop,w-tele,w-misc,w-gps,w-ppm,w-esc,esc-A,w-motor,TWR,Compute,w-Compute ,compue pow,,w-total,thrust-needed,per-m-thrust,prop,prop-r,kv,max-thrust,max-draw,final-thurst,Avg 30% load,Avg 50% load,Avg 70% load,Avg 100%load,hover,Increase,%compute 30%,%compute 50%,%compute 70%,%compute 100%,0.3,0.5,0.7,1,,,Compute Min,Compute Max,0.3,,0.7,,weight
,Our 1s,,60,100,15,23.85,1,3.7,1000,50,50,10,15,10,10,9,80,20,120,2,navio+rpi,20,4,,372.85,745.7,186.425,2,2.54,935,670,55,2680,62.05,411,573.8,818,240.3954691,0,6.446414182,0.97323601,0.697107006,0.488997555,3.04109589,0.459124088,0.32886023,0.230684597,Our 1s,,3,20,4.834810637,32.23207091,2.072061701,13.81374468,372.85
,,,60,100,15,42.85,1,3.7,2000,50,100,10,15,10,10,9,80,20,120,2,navio+rpi,20,4,,391.85,783.7,195.925,2,2.54,935,670,60,2680,72.25188854,466.6075542,644.2075542,910.6075542,259.0030233,18.60755415,5.53618747,0.857251445,0.620917897,0.439267166,5.223392878,0.808816738,0.585836036,0.414448571,,,3,20,4.152140602,27.68093735,1.77948883,11.86325886,391.85
,,,60,100,15,61.85,1,3.7,3000,50,150,10,15,10,10,9,80,20,120,2,navio+rpi,20,4,,410.85,821.7,205.425,2,2.54,935,670,70,2680,88.11796954,559.6718782,766.8718782,1077.671878,278.0673473,37.67187818,4.539369235,0.714704482,0.521599515,0.371170491,6.42434231,1.011485519,0.738193714,0.525299037,,,3,20,3.404526926,22.69684617,1.459082968,9.727219789,410.85
,,,60,100,15,80.85,1,3.7,4000,50,200,10,15,10,10,9,80,20,160,2,navio+rpi,20,4,,469.85,939.7,234.925,2,2.54,935,833,80,3332,114.7177679,695.6710716,932.4710716,1287.671072,340.0665408,99.67107162,3.486818191,0.57498438,0.428967731,0.310638337,6.579625927,1.084995526,0.809462109,0.586174541,,,3,20,2.615113644,17.43409096,1.12076299,7.471753267,469.85
,,,60,100,15,99.85,1,3.7,5000,50,250,10,15,10,10,9,80,20,160,2,navio+rpi,20,4,,488.85,977.7,244.425,2,2.54,935,833,90,3332,131.026466,790.5058639,1056.905864,1456.505864,360.901333,120.5058639,3.052818353,0.506005102,0.378463223,0.274629859,7.200835289,1.193539533,0.892700128,0.64778318,,,3,20,2.289613764,15.26409176,0.981263042,6.541753613,488.85
,,,60,100,15,118.85,1,3.7,6000,50,300,10,15,10,10,9,80,20,160,2,navio+rpi,20,4,,507.85,1015.7,253.925,2,2.54,935,833,100,3332,147.437396,885.749584,1181.749584,1625.749584,382.1450532,141.749584,2.713015902,0.451594906,0.338481185,0.246040352,7.679191512,1.278239381,0.958070995,0.696417216,,,3,20,2.034761927,13.56507951,0.872040826,5.813605505,507.85
,,,60,100,15,137.85,1,3.7,7000,50,350,10,15,10,10,9,80,20,180,2,navio+rpi,20,4,,546.85,1093.7,273.425,2,2.54,935,833,120,3332,180.8510114,1078.604046,1433.804046,1966.604046,426.9995148,186.6040457,2.211765347,0.370849712,0.27897815,0.203396307,7.303802116,1.224638462,0.921255596,0.671665454,,,3,20,1.65882401,11.05882673,0.710924576,4.739497172,546.85
,,,60,100,15,156.85,1,3.7,8000,50,400,10,15,10,10,9,80,20,180,2,navio+rpi,20,4,,565.85,1131.7,282.925,2,2.54,935,833,140,3332,208.6625079,1249.050032,1663.450032,2285.050032,449.4455008,209.0500316,1.916971113,0.320243377,0.240464091,0.175050872,7.23464898,1.208598504,0.90751148,0.66064199,,,3,20,1.437728335,9.584855564,0.616169286,4.107795242,565.85
,Our 3s,,60,100,15,90.935,3,11.1,1000,50,50,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,539.935,1079.87,269.9675,2,2.54,935,670,6,2680,52.8696,137.2,190.48,270.4,418.9259639,0,7.565784496,2.915451895,2.099958001,1.479289941,10.70747651,4.126093294,2.971965561,2.093565089,Our 3s,,3,20,5.674338372,37.82892248,2.431859302,16.21239535,539.935
,,,60,100,15,164.935,3,11.1,2000,50,100,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,613.935,1227.87,306.9675,2,2.54,935,670,9,2680,53.22240717,292.8096287,372.7296287,492.6096287,507.9355926,89.00962869,7.515631503,1.366075295,1.073163948,0.812001992,21.27299497,3.866676124,3.037590556,2.29837164,,,3,20,5.636723627,37.57815751,2.415738697,16.10492465,613.935
